sg,sgNumber,cleaned_formula
P 4/n b m :2,125.0,CoH8C8N5ClO6
P 4/n b m :2,125.0,CuH8C8N5ClO6
P 42/m b c,135.0,EuCrH10C10(NO6)2
P 42/m b c,135.0,SmCrH10C10(NO6)2
P n a 21,33.0,OsOF5
C m c 21,36.0,H11PtAuC17N5Cl
P m c 21,26.0,NiBH20C15BrN6
F d d 2,43.0,Sm3Ge5
F d d 2,43.0,Gd3Ge5
P 21 21 2,18.0,CsPu(ClO)4
P 21 21 21,19.0,CuH23C13N2
P 21 21 21,19.0,LaZnH18C22(NO3)5
P b c n,60.0,CuH24C20N2O5
P c a 21,29.0,Fe2H18C4S3N2O17
P b c a,61.0,H11C12N3O2
P 4/n :2,85.0,NaBH12C32(OF12)2
P m n b,62.0,Gd2H6C9O19
P b c a,61.0,NaGdH6(CO2)5
P n m a,62.0,SnMoH6(CO2)2
P b c m,57.0,SnMo2H6(CO5)2
C m 2 a,39.0,BiH17C15O
P 21 21 21,19.0,H13C8IN2
P n a 21,33.0,NiH25C14N2Cl
P 21 21 21,19.0,FeP(H7C8)3
P 21 21 21,19.0,CuH10C8N2ClO
P 41 21 2,92.0,K6Se2O9
P n a 21,33.0,KBH7C8S6N7
P 21 21 21,19.0,ZnH10C4SN2O3
P 21 21 21,19.0,ReH19C14SN4O5
P 21 21 21,19.0,TcH19C14SN4O5
P 4/n b m :2,125.0,CuBH9C8(N2F3)2
I -4,82.0,H10PtC10N4(ClO)2
P c c n,56.0,H10C8N7ClO4
P 42/n :2,86.0,CuH16(C8N7)2
P b c a,61.0,ZnH9C11N5Cl2
P 21 21 21,19.0,FeH10C13IN
P 21 21 21,19.0,FeH10C13IN
P b c m,57.0,FeH10(C7N)2
P b c a,61.0,CoH6C6(NO3)2
P n m a,62.0,La(In2Au)2
P n m a,62.0,Ce(In2Au)2
P n m a,62.0,Pr(In2Au)2
P n m a,62.0,Nd(In2Au)2
P b c a,61.0,KUHSO7
P 21 21 21,19.0,CuH22C10N2Cl
P n m a,62.0,Cu3MoH19C16S5N4
P 21 21 21,19.0,VH21C24S(NO2)3
P c a b,61.0,KS2N(O2F)2
P c a b,61.0,KS2N(O2F)2
I 4/m m m,139.0,Ba3(Ge4Rh)4
C 2 2 21,20.0,Sm4Ge7
I -4 2 m,121.0,Mo3P
P b c a,61.0,BiH12C11N2Cl5
P n a a,56.0,B4H14C22S8N2O2F13
P 21 21 21,19.0,H22C23N2O
F d d d :2,70.0,RbMoPO6
C 2 2 21,20.0,Rb4Mo5(PO11)2
I m -3,204.0,CaTi4(PdO4)3
I m -3,204.0,CaV4(PdO4)3
P 21 21 21,19.0,SnH11C6N2Cl3
P b c a,61.0,SnH22C12(N2Cl3)2
P n m a,62.0,Ba2NbH13C8O23
P b c n,60.0,As2H10C12N2O9
P a -3,205.0,Ti7Tl18Pb2S25
P a -3,205.0,Ti7Tl18Pb2Se25
P a -3,205.0,Zr7Tl18Pb2S25
P a -3,205.0,Hf7Tl18Pb2S25
P a -3,205.0,Hf7Tl18Pb2Se25
P 1 21/n 1,14.0,LaB7BrO14
P 1 21/n 1,14.0,LaB7IO15
P 1 21/n 1,14.0,CeB7IO15
P 1 21/n 1,14.0,PrB7IO15
P 1 21/n 1,14.0,NdB7IO15
P 1 21/n 1,14.0,SmB7IO15
C m c a,64.0,La2Zn(SeO)2
P -4 21 m,113.0,H7C8S4N3F
P 4/m b m,127.0,Fe4BiPb4ClO11
P b a m,55.0,Fe4BiPb4ClO11
P b a m,55.0,Fe4BiPb4ClO11
I 4/m m m,139.0,Yb(Ga2Cu)4
I 4/m m m,139.0,Yb(Ga2Cu)4
I 4/m m m,139.0,Yb(Ga2Cu)4
P n a 21,33.0,NiH3Ru5C18NO15
P -4 n 2,118.0,H20IrC19N3O2
F m -3 m,225.0,Ca3(Cd2Pt)4
P 42/m n m,136.0,Ba(Cd2Pt)2
P 42/m n m,136.0,Sr(Cd2Pt)2
P n a 21,33.0,PH18OsC17(NF2)3
P n a 21,33.0,PH17OsC17N2OF6
P n m a,62.0,BaYFeO4
I 21 3,199.0,NaCoH3(CO2)3
P b c a,61.0,HgH8C11Br2N3OF
C m c a,64.0,HgH8C11Br2N3ClO
P 2 2 21,17.0,In2H20C37O20
I 4/m m m,139.0,Rb2Zn3GeAs4
I 4/m m m,139.0,K2Zn3GeAs4
P n m a,62.0,EuMgSn
I 4/m m m,139.0,MnZn2H24C50(NO3)4
I 4/m m m,139.0,MnCd2H24C50(NO3)4
P 4/m m m,123.0,Zn2FeH24C49N4O11
P 21 21 21,19.0,Zn2H25C24(NO3)4
P 21 21 21,19.0,CuH7C5SNO5
P 4/n c c :2,130.0,Mg4AlSi3
F m -3 m,225.0,Pt
P n m a,62.0,AgH24C16SN4(OF)3
F m m m,69.0,Eu5B5Pt18
P n m a,62.0,MnH8C8N4O5
P c c n,56.0,MoH8C8S2(NO)2
P n a 21,33.0,CoH11PtC19S4N7
P 4/n :2,85.0,PuUC8NO25
P b c a,61.0,PH11(C2Cl)2
P n a 21,33.0,SiP2H16(C3Cl2)2
P 21 21 21,19.0,GaSi2PH18C7N2Cl4O
P n m a,62.0,RbGaH2
P n m a,62.0,PH21RuC23N5Cl(O2F3)2
P 2 21 21,18.0,Zn8H40C40O17F42
I -4 2 d,122.0,LiGa(SeO3)2
P n m a,62.0,NaGa(SeO3)2
P n m a,62.0,KGa(SeO3)2
I -4,82.0,Cs2GeB4O9
P 21 21 21,19.0,ZnH25C23N7Cl2O9
P 21 21 21,19.0,H16C23S(N3O4)2
P 21 21 21,19.0,AgH11C11N4O3
P n m a,62.0,Sr3BeB6O13
P c a 21,29.0,H16C17(NCl)3
P 4 b m,100.0,Cs2V3O8
P n m a,62.0,PH11C9NF5
P n m a,62.0,PH15C7NF5
A m m 2,38.0,Nb3Ag2TeS6
P 21 21 21,19.0,H13RuC14N5Cl4O
P n n m,58.0,Sr3Sn3Au8
P n m a,62.0,B4Pb6O13
C m m a,67.0,U2As2(C4O5)3
P b c a,61.0,NaIn(TeO3)2
I 41/a :2,88.0,KF5
P n m a,62.0,BaNiGe
P n m a,62.0,MgNiGe
P n m a,62.0,SrNiGe
P 4/n :2,85.0,MoH11C10N4ClO2
P n m a,62.0,AgH6C3N4Cl
F d d d :2,70.0,Ba(P2Au)2
C m m m,65.0,NiC4(NCl)2
P b a n :2,50.0,NiC10(NCl)2
P n n m,58.0,NiC12(NCl)2
P b a m,55.0,NaTc2H20N5OF12
P 21 21 21,19.0,CuH9C4N17O12
P c a 21,29.0,H8C5(N2O)2
P n m a,62.0,UCuH20C19(N2O5)2
P 21 21 21,19.0,UCuH23C21(NO2)5
P n m a,62.0,PH24C9N3O
P 42/m c m,132.0,UP2S9
C m c a,64.0,P2H20(C3S)3
P n m a,62.0,B5Te2H15(WC5)2
P 21 21 21,19.0,H11C19S6N2Cl3
P m n 21,31.0,FeC28
P n a 21,33.0,Ti5H15C9N6F23
P n m a,62.0,Ti2H5C3N2F9
P m n b,62.0,MgP4C12N2O13
P m n b,62.0,CaP4C12N2O13
P 21 n b,33.0,CoP4C12N2O13
P m n b,62.0,ZnP4C12N2O13
P m m n :2,59.0,Mo2H10C7N6O5F2
P -4 21 c,114.0,Ga4Ge(PbS3)4
P -4 21 c,114.0,Ga4Ge(PbSe3)4
P n m a,62.0,PH10C6O
P 21 3,198.0,Hg6P4PbCl6
P 21 21 21,19.0,CuH19C13SN5O4
P n m a,62.0,SrLiAs
P n m a,62.0,B3Pb3NO10
P n n 2,34.0,B6H4Pb4O15
P 4 m m,99.0,SnCI3N
A m m 2,38.0,SnH5CI3N2
P 4 m m,99.0,PbCI3N
I 4 c m,108.0,SnCI3N
I m m 2,44.0,SnCI3N2
I 4 c m,108.0,PbCI3N
P n m a,62.0,CsPbI3
F m -3 m,225.0,Cs2SnI6
C m c m,63.0,La2Zn5Sn
C m c m,63.0,Ce2Zn5Sn
C m c m,63.0,Pr2Zn5Sn
C m c m,63.0,Nd2Zn5Sn
C m c m,63.0,La2Zn5Pb
C m c m,63.0,Ce2Zn5Pb
C m c m,63.0,Pr2Zn5Pb
C m c m,63.0,Nd2Zn5Pb
P 42/n m c :2,137.0,Np2Se5
P 21 21 21,19.0,FeH23C16S2N4Cl(OF)6
P n m a,62.0,H6AuC5N5Cl2
P n m a,62.0,H16AuC9N5
P 43,78.0,H16PtC6N2(ClO2)2
P n a 21,33.0,H11C14SN5O2
P n m a,62.0,H15C20SN7O2
P 43 21 2,96.0,H6C13S(NO)4
P b c a,61.0,H12C12S(NO)4
P 21 21 21,19.0,MnH6C14(SO2)3
P 21 21 21,19.0,KH14C16NO5
P 21 21 21,19.0,KH12C15NO5
P 21 21 21,19.0,KH12C15NO5
P 21 21 21,19.0,NaH12C15NO5
P 21 21 21,19.0,NaH10C15NO4
P 21 21 21,19.0,NaH10C15NO5
C m c a,64.0,Rb3Ga2(Se2O7)2
P 21 21 21,19.0,ZnH14C14(N3O)2
P 21 21 21,19.0,ZnH14C14(N3O)2
P n m a,62.0,Ca6Cd11Pt
P n n 2,34.0,Cu3H25C24N11O7
P 43 21 2,96.0,FeH12C10(SN3)2
P 21 21 21,19.0,CrH6C6(SN2)2
P 21 21 21,19.0,SiH13C16S2N2F
P 21 21 21,19.0,SiH13C16S2N5
P 21 21 21,19.0,SiH13C17S2N3O
P 21 21 21,19.0,SiH13C17(SN)3
P 4/n m m :2,129.0,SrBiS2F
P n a 21,33.0,BH13C20N2ClOF
I 41/a :2,88.0,Co3As2H8C8(SN)8
P 42/n :2,86.0,Cu4AgH41C16N8O17
P 42/n :2,86.0,NaCu4H41C16N8O17
P 42/n :2,86.0,KCu4H41C16N8O17
F m -3 m,225.0,LiSbTe2
P n m a,62.0,Cs3Bi(AsS4)2
P n m a,62.0,Ba3GaS4Cl
P n m a,62.0,Ba3GaS4Br
P n m a,62.0,Ba3GaSe4Cl
I 4/m c m,140.0,Ba3InSe4Cl
I m -3,204.0,MnV4(CuO4)3
I m -3,204.0,MnV4(CuO4)3
F d -3 m :2,227.0,AgSbO3
P b a 2,32.0,Co7H32C48(N2O13)2
P b a 2,32.0,Ni7H32C48(N2O13)2
I m -3,204.0,CaV4(CoO4)3
P n m a,62.0,CaVO3
P 42/m n m,136.0,VO2
C m c m,63.0,MnCrO4
I 4/m c m,140.0,Ba14U2V4S25O
P 4/m b m,127.0,Ba14U2Fe4S25O
P 4/m b m,127.0,Ba14U2Fe4S25O
I -4 2 m,121.0,Ba13Si6(Sn4As11)2
P n m a,62.0,Na(Ga2Au)2
P n m a,62.0,CoPH23C20N2Cl(OF3)2
C m c m,63.0,Rb4(ZnAs)7
C m c m,63.0,VInO4
P m n 21,31.0,Pb23I10BrO19
I 4/m,87.0,SiPb11(ClO6)2
P 4/n :2,85.0,CsAg7S4
P n a 21,33.0,FeSnH24C18(NCl2)2
P 21 21 21,19.0,CsH10C5ClO5
P b c a,61.0,InH5C5Br3N
P b c n,60.0,InH15C15(BrN)3
P n m a,62.0,MnH2Cl2O
P n m a,62.0,CoH2Cl2O
P n m a,62.0,MnH2Cl2O
P n m a,62.0,CoH2Cl2O
P 4/n m m :2,129.0,LaCrAsO
P 4/n m m :2,129.0,NdCrAsO
C m c m,63.0,GdFeH8C6(N3O2)2
P b c a,61.0,AgH10C2N11O7
P c a 21,29.0,NiH14C2N10(ClO7)2
P b a m,55.0,Yb5(GaSb3)2
P 21 21 21,19.0,Na5Ce(PO4)3
P n m a,62.0,SrGe2(BO4)2
P n m a,62.0,BaCo2As6(H2O7)2
I m -3,204.0,LaFe4(CuO4)3
I m -3,204.0,PrFe4(CuO4)3
I m -3,204.0,NdFe4(CuO4)3
I m -3,204.0,SmFe4(CuO4)3
I m -3,204.0,EuFe4(CuO4)3
I m -3,204.0,GdFe4(CuO4)3
I m -3,204.0,TbFe4(CuO4)3
P n -3 :2,201.0,DyFe4(CuO4)3
P n -3 :2,201.0,HoFe4(CuO4)3
P n -3 :2,201.0,ErFe4(CuO4)3
P n -3 :2,201.0,TmFe4(CuO4)3
P n -3 :2,201.0,YbFe4(CuO4)3
P n -3 :2,201.0,LuFe4(CuO4)3
I m -3,204.0,LaFe4(CuO4)3
I m -3,204.0,PrFe4(CuO4)3
I m -3,204.0,NdFe4(CuO4)3
I m -3,204.0,SmFe4(CuO4)3
I m -3,204.0,EuFe4(CuO4)3
I m -3,204.0,GdFe4(CuO4)3
I m -3,204.0,TbFe4(CuO4)3
I m -3,204.0,DyFe4(CuO4)3
I m -3,204.0,HoFe4(CuO4)3
I m -3,204.0,ErFe4(CuO4)3
I m -3,204.0,TmFe4(CuO4)3
I m -3,204.0,YbFe4(CuO4)3
I m -3,204.0,LuFe4(CuO4)3
C m c a,64.0,K2CuH6C12(OF3)8
P 42/m n m,136.0,UH24C8N2(Cl2O)2
P 42/m n m,136.0,PuH24C8N2(Cl2O)2
P a -3,205.0,VSb(SeO3)4
P n m a,62.0,Ba2TaH13C8O23
I m -3,204.0,V4Cu3AgO12
A b m 2,39.0,YV(SeO4)2
P 21 21 21,19.0,H20PtC24(NO)2
P b c n,60.0,CsErH4C20(OF3)8
P b c n,60.0,CsDyH4C20(OF3)8
P b c a,61.0,BeBH10C9IN6
P m n 21,31.0,NaB3H8
P 21 21 21,19.0,H25RuC23N2Cl3O2
P b a m,55.0,PtC7Br(NO)6
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P c c n,56.0,FeH12C2(NCl2)2
P m c 21,26.0,BaCe(SnS3)2
P m c 21,26.0,BaPr(SnS3)2
P m c 21,26.0,BaNd(SnS3)2
P m c 21,26.0,BaCe(SnSe3)2
P n a 21,33.0,YBe2B5O11
P n a 21,33.0,GdBe2B5O11
P 4/m m m,123.0,EuAl4Si2Ir
P 4/m m m,123.0,EuAl4Si2Rh
P n a 21,33.0,Zn2H23C24N11O5
P 21 21 21,19.0,H16OsC12N2Cl3O2
I 4/m m m,139.0,Na3PaF8
P n n m,58.0,PaH12C4NF6
I -4,82.0,AlCuP4H46(C8S)2
P m n 21,31.0,K10Mo6Br2(O4F7)3
P m n 21,31.0,K10Nb6Br(O2F9)3
P m n 21,31.0,K10Nb6I2(O2F9)3
P n m a,62.0,FeHOF
P b c n,60.0,NbH10C10N2OF5
P 41,76.0,CuH8C11N5ClO5
P b c a,61.0,UAgP2H2CO8
C 2 2 21,20.0,U2Ag2P2H2C(O6F)2
I 41/a m d :2,141.0,Co2PO5
C m c 21,36.0,CsZn2B3O7
I 4/m c m,140.0,Ba12NaB7O21F4
I 4/m c m,140.0,Ba12LiB7O21F4
P b c a,61.0,MoH7C8N3O5
P 21 21 21,19.0,H14AuC8N2Cl
P n a 21,33.0,H22WC21NCl6
P n m a,62.0,H20PtC7N2Cl2O3
P n m a,62.0,FeH9C11SN
P n m a,62.0,H9RuC11SN
I 41/a c d :2,142.0,Cd3As2
P 21 21 21,19.0,V2CuH16C8(NO)6
P 21 21 21,19.0,V2CuH16C8(NO)6
P 43 2 2,95.0,Co6H20C23NO14
I 4/m m m,139.0,Ba2CoAg2(SeO)2
P n m a,62.0,Ba2HgS5
I 4/m,87.0,K(IrO2)4
P n m a,62.0,V2Co(HO2)4
C m c m,63.0,Yb(Al5Os)2
C m c m,63.0,Lu(Al5Os)2
P n m a,62.0,KY(SeO3)2
P n m a,62.0,RbY(SeO3)2
P a -3,205.0,CsY(SeO3)2
P c a 21,29.0,H19C19NO5
P 41 21 2,92.0,Cu2H24C19(NO)6
P 43 21 2,96.0,Cu2H24C19(NO)6
P 21 21 21,19.0,Cu2H24C19(NO)6
P 21 21 21,19.0,Cu2H24C19(NO)6
P 43 21 2,96.0,Cu2H24C19(NO)6
P 21 m a,26.0,K5U8B5O39
C m c m,63.0,K2TcNO2F5
C m c m,63.0,Rb2TcNO2F5
P 4/m,83.0,KTc2P3H24N10(OF10)2
P b c m,57.0,Pb3NO6
P b c a,61.0,Pb2NO5
P c a 21,29.0,NbIn(TeO4)2
C m c m,63.0,NdMg5Ni
P n a 21,33.0,LiH4C6NO2
P b c a,61.0,BaGe4(RhS3)2
P 21 21 21,19.0,CuH24C24N3ClO
P n a 21,33.0,H22C21N4(ClO)2
F m -3,202.0,Cs3Cu20Te13
P 21 21 21,19.0,CuH7C7N4ClO6
I 41/a,88.0,LiUF5
P n m a,62.0,KU2F9
P n m a,62.0,RbU2F9
P m c 21,26.0,RbU3F13
I 4 m m,107.0,BaSn3Au
P 4/n m m,129.0,Ba(SnAu)2
P 21 21 21,19.0,ReH21C18(NO3)4
P b a n :2,50.0,CdCu4C4S4(NO6)2
P 21 21 21,19.0,MnH16C13N6ClO3
P n m a,62.0,Na2Mg2NiH6
P 21 21 21,19.0,ZnH20C11S2(NO)2
F d d d,70.0,HfH8(SO6)2
P -4 21 c,114.0,HfCl2O9
I m m m,71.0,Nd2Co2SiC
I m m m,71.0,Pr2Co2SiC
I m a 2,46.0,CuH14C10IN4
I m a 2,46.0,CuH14C10I3N4
I m a 2,46.0,CuH14C10I2N4Cl
P n a 21,33.0,CuH13C15N3O8
P c c n,56.0,CuH18C6N2(Cl2O)2
P 21 21 2,18.0,Ag2H32C26S2N6O7
P a -3,205.0,Re3Se4O3
P n n m,58.0,La3LuSe6
P n n m,58.0,Ce3LuSe6
C m c m,63.0,PrLuSe3
C m c m,63.0,NdLuSe3
P 21 21 21,19.0,PH21Pd(C10Cl)2
P m n 21,31.0,P2H6(CO)3
P c a 21,29.0,P2H15W2C16N3O10
P 21 21 2,18.0,MgB6H36(C4O)2
P 21 21 21,19.0,KB2H17(C7N2)2
F m m m,69.0,BaAs2Xe5F22
F m m m,69.0,BaSb2Xe5F22
P 21 21 2,18.0,H30Pd2C29S2(N3Cl2)2
P n a 21,33.0,CuH2CN2Cl
P n m a,62.0,PH18C10S2N3(O4F3)2
P 21 3,198.0,CuH18C18(N2Cl)2
P c a 21,29.0,MnH12C16N5(OF)2
P c a 21,29.0,LiH23C17N2
P 21 21 2,18.0,K9Bi(PS4)4
P 21 21 21,19.0,Cu2BH25WC18S3N8
P c a 21,29.0,NpP2H9C2NO11
I 4/m c m,140.0,TiSb2
C m c m,63.0,In2NiC9(S2N3)2
P n n m,58.0,MnH4CSNO3
C 2 2 21,20.0,Co(HN2)4
I 4/m m m,139.0,La4Ni3O8
I 4/m m m,139.0,Nd4Ni3O8
F d d 2,43.0,AgPH6C8(N2F3)2
P n m a,62.0,FeH15C13(NCl)3
I -4 2 d,122.0,InH3C2O5
I -4 m 2,119.0,SrMgIn3
I 4/m m m,139.0,SrZnIn3
C m c a,64.0,Ca4In3Au10
P 21 21 21,19.0,CuH2C3N2
C m c m,63.0,Gd3Ge4
C m c m,63.0,Tb3Ge4
C m c m,63.0,Dy3Ge4
C m c m,63.0,Ho3Ge4
C m c m,63.0,Er3Ge4
C m c m,63.0,Tm3Ge4
C m c m,63.0,Y3Ge4
P m c 21,26.0,InH9(C2O)6
P n m a,62.0,InH9(C2O)6
P 42/n c m :2,138.0,In2H8C16O9
P n n m,58.0,Cu2PHO5
I 4/m c m,140.0,Lu7Sb3
P 21 21 21,19.0,H5C6S
P 21 21 21,19.0,Cu3H22(C4N5)4
P 21 21 21,19.0,TiH21C20NCl2O3
P 21 21 21,19.0,CuH4C6(N2O)2
P c a 21,29.0,ZnP2H10C3NO7
P 4/n m m :2,129.0,LaNiPO
I 4/m c m,140.0,EuSn3Bi
P 21 21 21,19.0,NaH3C2O3
C m c m,63.0,K2UCu3S5
P n m a,62.0,GaAsH8C5I3
P b c a,61.0,CoBi2SO7
P b c a,61.0,H4C2SeO4
P -4 21 c,114.0,SeO3
C m c m,63.0,RbSm2Ag3Te5
C m c m,63.0,RbGd2Ag3Te5
C m c m,63.0,RbTb2Ag3Te5
C m c m,63.0,RbDy2Ag3Te5
C m c m,63.0,CsPr2Ag3Te5
C m c m,63.0,CsNd2Ag3Te5
C m c m,63.0,CsSm2Ag3Te5
C m c m,63.0,CsGd2Ag3Te5
C m c m,63.0,CsTb2Ag3Te5
C m c m,63.0,CsDy2Ag3Te5
C m c m,63.0,CsHo2Ag3Te5
C m c m,63.0,CsEr2Ag3Te5
P m a 2,28.0,Zn2H25C39(N3O4)2
P 42/m n m,136.0,Sr3Li2
P c a 21,29.0,B9H20C5I2N
P c a 21,29.0,H5AuC7SN2
P n a 21,33.0,ZnH14C22(N2O3)2
I m -3,204.0,CaCu3(RhO3)4
P n m a,62.0,Nd2Te3MoO12
P n m a,62.0,La2Te3MoO12
P n a 21,33.0,Rb4Te8O23
C c c m,66.0,CuH3(CN2)2
P n a 21,33.0,ZnH8C12(NO2)2
P b c a,61.0,ZnAs
P b c a,61.0,ZnAs
P -4 21 m,113.0,U2H25C13NO14
P -4 21 m,113.0,U2H25C13NO14
P 21 21 21,19.0,FePH19C14
P n m a,62.0,FeBP(H11C7)2
P n a 21,33.0,GePH21C21Cl2
P n m a,62.0,MnBiO3
P n m a,62.0,MnBiO3
P 21 21 21,19.0,CuH7C11N3O2
P b c a,61.0,VPbSeO5F
P n 21 a,33.0,H13C11S4N3O
I m m a,74.0,CoH10C14N4O7
I m m a,74.0,MnH10C14N4O7
P n a 21,33.0,NaVH2(OF2)2
P n a 21,33.0,TiH16C22(SN)2
P m m n :2,59.0,Cr3H42C36(N3O4)4
I m m a,74.0,CrH4C9N8O
I 41/a m d :2,141.0,Mn2CoO4
C m c m,63.0,MoH18C22S4(NCl2)2
P n n m,58.0,P2Os
P n n m,58.0,As2Os
P n n m,58.0,Sb2Os
P n m a,62.0,H11C19N4Cl3
P c c n,56.0,U2PCl13
P b a m,55.0,UPCl5O2
P n m a,62.0,U2PCl11O
P 21 21 21,19.0,H9C5NO
P 21 21 21,19.0,EuBiSe3
P 21 21 21,19.0,EuSbSe3
P n m a,62.0,RbNa2B6BrO10
P 21 21 21,19.0,RbNa2B6ClO10
P 21 21 21,19.0,Na3B6ClO10
P 4/n m m :1,129.0,LaBiPbS3O
C m c m,63.0,CoAgB2H12C20N10(OF2)4
C m c m,63.0,CoAgB2H12C20N10(OF2)4
C m c m,63.0,CoAgB2H16C20N10(O3F4)2
C m c m,63.0,Ni2Ag2B2H30C43N20O9F8
C m c m,63.0,CoAgB2H12C20N10(OF2)4
F d d d :2,70.0,Na2Th(AsO4)2
I 41/a m d :2,141.0,Cs2Th(AsO4)2
P 42/m n m,136.0,Nb4Ga5
P n m a,62.0,H4C2N2O3
I 2 2 2,23.0,CdH28C12(NCl2)2
P b c a,61.0,NaIn(TeO3)2
P n m a,62.0,KIn(TeO3)2
I 4/m c m,140.0,BaU2Te5
P b c 21,29.0,CuH20C8N16(ClO6)2
I 41/a m d :2,141.0,TaNO
P n m a,62.0,FeH19C9Br3NO
I 4,79.0,FeH28C44N4Cl
I 4,79.0,FeH28C44N4Cl
I 4,79.0,FeH28C44N4Cl
I 4,79.0,FeH28C44N4Cl
P n m a,62.0,GdMnCu4P3
P n m a,62.0,TbMnCu4P3
P n m a,62.0,DyMnCu4P3
P n m a,62.0,HoMnCu4P3
P 4/n m m :2,129.0,LaCu4P3
C m c m,63.0,NaFeF3
I m -3,204.0,Ba12In(H2C9)2
P n m a,62.0,ReH12C17BrN4O3
P n m a,62.0,LiCa3As2H
P 4/n m m :2,129.0,BiIO
P b c n,60.0,Mn3Ge2H12S7N4
P c c n,56.0,Na2Te4O9
P 21 21 21,19.0,CuH21C15SN5O3
P b a m,55.0,Ce(Al4Co)2
I 41/a m d :1,141.0,GdVO4
P m n 21,31.0,TiH36C19O7
I m -3 m,229.0,SiW12C7O40
P 4/n c c :2,130.0,Co3H12C20N8(ClO5)2
P 21 21 21,19.0,CoH4C7N2O5
P 21 21 21,19.0,CoH4C6(NO3)2
P 21 21 21,19.0,H21PtC24SNO4
I m m a,74.0,BaGe5
C m c m,63.0,BaGe6
P n m a,62.0,RbLi6B2O6F
P n a 21,33.0,Co2H21C23NO7F6
P 21 21 21,19.0,BaNaEu(SiO3)3
A m a 2,40.0,Ba3NaEu3(Si3O10)2
P m m a,51.0,Y3AlC3
P b c a,61.0,Cu3GeH3C5(S2N)2
I m m a,74.0,BaGe5
P 42/n b c :2,133.0,NaY(Te2O5)2
P n m a,62.0,KY(TeO3)2
P n m a,62.0,RbY(TeO3)2
P n m a,62.0,PbC7I3
I m -3 m,229.0,Cu4C12Br3N4
P a -3,205.0,Sr(PPt3)2
P 4/n m m,129.0,Sm2Bi2S4OF
I 2 3,197.0,Pu2B5O18
P 21 21 21,19.0,H8C12N3F
C m c m,63.0,ScUS3
I b a m,72.0,TiH10C10(NF3)2
I m m a,74.0,VH8(C7O3)2
P m n 21,31.0,Na11Ca2Al3Sb8
P n a 21,33.0,GaCuO2
P n a 21,33.0,CdH7C3NO6
P n a 21,33.0,CdH7C3NO6
P n a 21,33.0,CdH7C3NO6
P n m a,62.0,NiPb(SeO3)2
P n m a,62.0,CoPb(SeO3)2
C m c 21,36.0,NiPb(SeO3)2
P 21 21 21,19.0,H16C21(SN2)2
I m m a,74.0,CrH9C14NO5
P 42/n :1,86.0,Na4Cu4H18C8O23
P n a 21,33.0,Li2MnGeS4
P 43,78.0,Mn2H12C17O10
P 41,76.0,Mn2H12C17O10
P b a m,55.0,Al4Bi2O9
P b a m,55.0,AlGa3Bi2O9
P b a m,55.0,Al2Ga2Bi2O9
P b a m,55.0,Al3GaBi2O9
P b a m,55.0,Ga4Bi2O9
P 42/n c m :2,138.0,FeH16C4(NCl2)2
P c a b,61.0,FeH16C4(NCl2)2
P c c n,56.0,FeH16C4(NCl2)2
P c a b,61.0,FeH16C4(NCl2)2
I 4/m m m,139.0,FeC4(NCl2)2
P c c n,56.0,FeH16C4(NCl2)2
P c a b,61.0,FeH16C4(NCl2)2
P c a b,61.0,FeH16C4(NCl2)2
P c a b,61.0,FeH16C4(NCl2)2
P 21 21 21,19.0,H12C13SO2
P m c 21,26.0,BaHgS2
P 21 21 21,19.0,H14C16NClO
P n m a,62.0,NaSiBH9C7N4F
P n -3 :2,201.0,NaNiH6(OF)3
P 21 21 21,19.0,PH15RuC10N2(OF3)2
P 21 21 21,19.0,PH14RuC12N3(OF3)2
P 21 21 21,19.0,PH16RuC11SN(OF3)2
P c c n,56.0,VCu2P3H22C24(NO4)4
P 42/m b c,135.0,SrU(PS4)2
P 42/m b c,135.0,BaU(PS4)2
P 42/m b c,135.0,SrTh(PS4)2
C m c m,63.0,CoH14C12S2N14O
C m c m,63.0,NiH14C12S2N14O
C m c m,63.0,ZnH14C12S2N14O
P 42/n m c :1,137.0,Ce2Cd(SeO)2
P b c a,61.0,UH11C12N2O5
P b c a,61.0,UH11C12N2O5
P n m a,62.0,NaSc(SeO3)2
P n m a,62.0,CsSc(SeO3)2
B m a b,64.0,Ce8ZnFe3(SeO)8
I m c b,72.0,La20Mn9Zn(SeO)20
P 21 21 21,19.0,CuRe2H13C13N7Cl9O2
P n m a,62.0,H16C10SeN2(OF)2
P c c n,56.0,UH4C2(NO3)2
P n m a,62.0,KCuMoO5
